Id,Label
A6NI87,Protein
Q14147,Protein
Q6NUN0,Protein
P05771,Protein
Q96JF6,Protein
P0CW00,Protein
Q6ZN04,Protein
Q58FF6,Protein
P07741,Protein
Q8NGG0,Protein
Q9UQ84,Protein
C9J442,Protein
P43359,Protein
P63162,Protein
Q92963,Protein
P29590,Protein
Q9UBX7,Protein
Q96RT7,Protein
O00142,Protein
Q9NUW8,Protein
P01599,Protein
O94868,Protein
Q8IXI1,Protein
Q32P51,Protein
Q9BPV8,Protein
P08034,Protein
Q2M3A8,Protein
Q8N7P7,Protein
Q5TG53,Protein
O95858,Protein
Q00975,Protein
Q3LI61,Protein
Q6PRD1,Protein
A6NHX0,Protein
Q9GZR5,Protein
P0DPK4,Protein
Q9BSM1,Protein
O95394,Protein
P30048,Protein
Q96IZ7,Protein
Q14320,Protein
Q9HAZ2,Protein
P19878,Protein
Q8WXQ8,Protein
A6NHY2,Protein
Q9Y5W8,Protein
P0DN81,Protein
P31314,Protein
P04114,Protein
Q9H6S1,Protein
Q6NUI6,Protein
O75354,Protein
Q9UNK0,Protein
Q8TCT1,Protein
P17098,Protein
Q9Y2Z2,Protein
Q13873,Protein
Q92968,Protein
Q8NHB8,Protein
Q9Y337,Protein
Q9NQW6,Protein
O96017,Protein
P46100,Protein
P14314,Protein
A5D6W6,Protein
Q8WZ33,Protein
Q92901,Protein
P17987,Protein
P20671,Protein
Q9UP38,Protein
O75569,Protein
O15273,Protein
Q8TCJ2,Protein
P48047,Protein
Q8NHR9,Protein
O76081,Protein
Q8WXH2,Protein
Q8IZ81,Protein
Q86TS9,Protein
P37088,Protein
Q6KF10,Protein
Q8NI38,Protein
P07451,Protein
O15239,Protein
Q68G75,Protein
O75083,Protein
O43719,Protein
Q53HV7,Protein
Q9UN19,Protein
Q7Z7L9,Protein
Q15118,Protein
Q9BYR4,Protein
O00444,Protein
Q8N9N8,Protein
P47893,Protein
Q9UEY8,Protein
O95232,Protein
P48029,Protein
O75506,Protein
Q16186,Protein
Q14699,Protein
Q8TCG1,Protein
Q12879,Protein
Q9UG56,Protein
P54750,Protein
P57682,Protein
Q96J65,Protein
Q8NDG6,Protein
Q9UBV8,Protein
P35226,Protein
O75376,Protein
Q8N8H1,Protein
O95918,Protein
Q6ZQR2,Protein
Q5QFB9,Protein
Q96KQ4,Protein
Q9C0E4,Protein
Q9Y5J7,Protein
P0CJ69,Protein
O75899,Protein
Q09428,Protein
Q8N511,Protein
Q6MZM9,Protein
Q9H1B4,Protein
P17302,Protein
P46060,Protein
Q96AV8,Protein
Q8NH89,Protein
Q9NYL4,Protein
Q6P2S7,Protein
P29466,Protein
Q8N2R8,Protein
Q9BWV2,Protein
P09105,Protein
Q96NZ1,Protein
P22310,Protein
Q09472,Protein
Q6P6B7,Protein
A6NJB7,Protein
P05129,Protein
Q8IV33,Protein
Q9Y3C6,Protein
O60248,Protein
Q695T7,Protein
Q8WWF6,Protein
O95500,Protein
Q9P0S9,Protein
O00268,Protein
P45954,Protein
Q99572,Protein
Q9NVX2,Protein
Q9H9V4,Protein
P25054,Protein
P06729,Protein
Q8NGE1,Protein
O95870,Protein
O75015,Protein
A6NEM1,Protein
P37235,Protein
A1L3X4,Protein
Q8IYP9,Protein
Q9BYR3,Protein
P24046,Protein
Q8IWN6,Protein
Q86X55,Protein
Q6UWL6,Protein
Q86VX9,Protein
Q9NS82,Protein
Q9UIF9,Protein
P51687,Protein
Q8NGI1,Protein
Q6P1M9,Protein
Q6ICG6,Protein
Q3KNT7,Protein
P60410,Protein
Q9P2E9,Protein
Q6NXT4,Protein
P20020,Protein
Q6P5W5,Protein
Q9BXI2,Protein
P30040,Protein
P07686,Protein
Q7Z3T8,Protein
Q9HC78,Protein
Q6P4R8,Protein
Q14232,Protein
O75031,Protein
Q9H869,Protein
Q5HY92,Protein
P0DPA3,Protein
O75071,Protein
Q96PX9,Protein
Q9P0K8,Protein
Q8TD47,Protein
Q6ZV80,Protein
P19105,Protein
Q8IWD5,Protein
M5A8F1,Protein
Q5W0Z9,Protein
Q8IZH2,Protein
O43688,Protein
Q3LI73,Protein
Q8N8J0,Protein
P46926,Protein
Q8ND23,Protein
Q5T871,Protein
Q9Y3E7,Protein
Q8N7P1,Protein
P10767,Protein
Q4G0J3,Protein
Q9UGU5,Protein
Q14562,Protein
Q96DB9,Protein
P08861,Protein
O95600,Protein
Q08AG7,Protein
Q9H496,Protein
A6ZKI3,Protein
Q7RTY7,Protein
Q9ULW6,Protein
Q8TE77,Protein
Q9UNZ5,Protein
Q96T66,Protein
Q9H0E3,Protein
Q92844,Protein
P0CB48,Protein
A6NIY4,Protein
O43508,Protein
P20338,Protein
C9J302,Protein
Q8N4F4,Protein
P28906,Protein
Q9Y6X3,Protein
Q9UGB7,Protein
Q7Z3F1,Protein
Q96MT8,Protein
Q9Y2Z4,Protein
